departamento,participacion_comunitaria,incentivos_economicos,fortalecimiento_institucional,impactos_ambientales,conflictos_socioambientales,desplazamiento_forzado,reasentamiento,protesta_social,amenaza_intimidacion,consulta_previa,audiencia_publica,taller_participativo,conflicto_territorial,nivel_acuerdo_proyecto,demanda_derechos,denuncia_violacion,propuesta_alternativa,llamado_dialogo,defensa_territorio,exigencia_participacion,equidad_inclusion,grupos_etnicos,movimientos_sociales,grupos_poblacionales_afectados,participacion_economica_local,transparencia_contractual,zonas_proteccion_alimentaria,respeto_territorios,presencia_grupos_armados,desaparicion_lideres,grupos_etnicos_entidades,grupos_armados_entidades,organizaciones_entidades,lideres_entidades,instituciones_entidades,actores_economicos_entidades
La Guajira,0.08153693165097918,0.4252622808728899,0.2810533589550427,0.12847622031612055,0.08367119443469814,0.4352383262344769,0.31150361050718595,0.3591937977554543,0.31287175390337196,0.7277148429836545,0.812565918479647,0.9451098271778652,0.9065900189535958,0.9696082728249686,0.5038554168173245,0.6548564274396215,0.6703578042132514,0.564929838691439,0.8718479701450893,0.24192997626960278,0.5384959088904517,0.9067724687712533,0.1141446604160592,0.8382878654769489,0.3572504222393036,0.34054211407367674,0.4154761144891381,0.9441251243863787,0.49066394780363354,0.5791215300559998,0.5714285714285714,0.0,0.2857142857142857,0.0,0.14285714285714285,0.5714285714285714
Magdalena,0.1643769033253193,0.37059635668992996,0.25122611969709396,0.06430819351226091,0.14949241653084755,0.3577682721661404,0.5073501425795257,0.131248798687011,0.2630235911346972,0.5987907941453159,0.8048330768942833,0.8197628855705261,0.6951418370008469,0.7559496145695448,0.32904351968318224,0.6467318013310432,0.29115641419775784,0.7882121503353119,0.6710772840306163,0.11024872749112546,0.330344301648438,0.9435031563043594,0.09669406374450773,0.8140183910727501,0.3828145805746317,0.11636027600616217,0.4118438074365258,0.8652297705411911,0.6042438079603016,0.5159248486161232,0.25,0.25,0.5,0.0,0.25,0.5
Meta,0.17221984809667273,0.3464599217766443,0.2756691877730191,0.08707242730746952,0.1185786012383933,0.23735264473440554,0.30198340569355375,0.2952202828585271,0.17845053639580696,0.6607177726723052,0.8772943974346727,0.848871081765439,0.5409439717469787,0.9581928599525142,0.3891499177458369,0.7302168978982277,0.6497652485425508,0.6464069345840127,0.83774204134337,0.2386032565987694,0.3399916008772404,0.6810460640809726,0.24589509215336483,0.7732038567773998,0.3184089755585946,0.2158606038586161,0.2589201259157759,0.8902116170140436,0.5089056506954335,0.5333860974626716,0.16216216216216217,0.12162162162162163,0.13513513513513514,0.013513513513513514,0.7162162162162162,0.33783783783783783
Norte de Santander,0.16922912006643978,0.2869168660930685,0.35957714104773225,0.07589157593965128,0.10838528513606335,0.5027958947482418,0.32676955612653213,0.44487223036687923,0.3717570748884936,0.7378754885615529,0.8418643232938405,0.8350300916747467,0.6392137990458995,0.9558012404957333,0.5375573220285209,0.7975126844704956,0.6834218711592257,0.6848188194421094,0.8875966666115297,0.4039022313883981,0.5722983604850801,0.6537244572631411,0.2190038553388739,0.796532642096281,0.4945195959408994,0.36590917426715225,0.2940345536067931,0.9174470063802358,0.6932152032449439,0.6164556287128378,0.08108108108108109,0.5135135135135135,0.21621621621621623,0.08108108108108109,0.3783783783783784,0.21621621621621623
Quindío,0.1644792016595602,0.417032216116786,0.26738867474099,0.03590931873380517,0.1151905739835153,0.29181209970071603,0.2835744832719987,0.26730175064876677,0.1538224767893553,0.617425815264384,0.9015712996323904,0.8955612460772197,0.6523881493757169,0.9227505226929983,0.37995064015655466,0.685996365485092,0.6446681588810558,0.6249430341025194,0.7154329307377338,0.3396886332659051,0.3388317343778908,0.70474627216657,0.2416164564298621,0.7225069368413339,0.3892944538694186,0.23186349390889519,0.16146897934765245,0.7930067292104165,0.4537186926793462,0.4899542643688619,0.03333333333333333,0.1,0.26666666666666666,0.03333333333333333,0.36666666666666664,0.3333333333333333
Risaralda,0.16320759803056717,0.21572380512952805,0.4291969761252403,0.05133479926735163,0.14053685404360294,0.5194986686110497,0.0579379010014236,0.23850351572036743,0.14729594881646335,0.3510359600186348,0.6907786428928375,0.7014537751674652,0.8241190314292908,0.9136504828929901,0.5337214171886444,0.7340975403785706,0.2914191707968712,0.6192114353179932,0.9751676917076111,0.34839240461587906,0.27607961371541023,0.635849118232727,0.363124243915081,0.5020489171147346,0.475081954151392,0.06788736209273338,0.3019635865930468,0.990976482629776,0.620882660150528,0.43336125602945685,0.0,0.5,0.5,0.0,0.5,0.0
Santander,0.20382234032265842,0.3476482099527493,0.28714985577389596,0.06292710431735031,0.09845248348836322,0.20801614782467368,0.30180826983007136,0.24495497758529383,0.2173959007966914,0.6787021003104746,0.8240362757421099,0.8215966939018108,0.6421901943878038,0.9254446018859744,0.4420907865464687,0.6702803696668707,0.5935725609370275,0.6445640698447823,0.7655588883534074,0.24890859697014092,0.3420361222233623,0.4678948293416761,0.18100870678958017,0.7585343792755157,0.3480529867648147,0.24262081189401216,0.19368492953435634,0.7646344102174044,0.5337588392256294,0.47805300058797,0.04,0.17,0.14,0.04,0.58,0.3
Tolima,0.1303446650505066,0.14329680502414704,0.38690126687288284,0.2595263678580523,0.07993089957162738,0.10137280523777008,0.26975337564945223,0.0255873067304492,0.005609396565705538,0.6421128511428833,0.8587695598602295,0.8819328784942627,0.6234294146299362,0.947295320034027,0.24404095821082591,0.5692493408918381,0.69720960855484,0.6050168890506029,0.8339528679847718,0.047765525383874775,0.15330776311457156,0.7508975267410278,0.010113842965802177,0.8316385388374329,0.235288006067276,0.05692379530519247,0.04641227633692324,0.9178996682167053,0.2103002443909645,0.26413203924894335,0.0,0.0,0.0,0.0,0.6,0.0
Valle del Cauca,0.1832058321468722,0.3148584709399904,0.2976192282422364,0.08833349748255766,0.115982967272324,0.3440215304003377,0.38274134078662947,0.3793470052882432,0.3197427504591828,0.7692901701316038,0.8825310859659651,0.8550058011128341,0.6651095911426451,0.9344578364466145,0.511922091037686,0.731526409883902,0.665893265775753,0.6970307739266167,0.8499646955757465,0.3510910610701421,0.44440791216843933,0.6817260927428013,0.2970099725101586,0.8230052911834701,0.4617851052483548,0.3054906134269719,0.24608026651068798,0.8565526162206367,0.5840745979165025,0.6369106146185975,0.10679611650485436,0.9757281553398058,0.33495145631067963,0.043689320388349516,0.47572815533980584,0.3300970873786408
Vaupés,0.15011843613288162,0.3056371696900738,0.33700370537522045,0.08165282712181342,0.12558785968703096,0.4007154543531056,0.4344995183681654,0.3313726782172402,0.2486950913716219,0.6969779511741565,0.8355654348561075,0.8111740337518986,0.7594721007930196,0.9424818003469188,0.5446201515049957,0.7173855004897949,0.5947623763324531,0.7660629969753284,0.8648502712907351,0.4324012673991408,0.5576101527422788,0.6846208781125429,0.16467422401499632,0.8232286042943799,0.5918614954292856,0.3685552607500501,0.24958983093750683,0.893786883057581,0.6474243019854286,0.6735831006207382,0.32608695652173914,0.5434782608695652,0.25,0.010869565217391304,0.40217391304347827,0.20652173913043478
Vichada,0.1711215942604689,0.2809386030477028,0.33233881225099876,0.09961060118526109,0.11599038980299763,0.5354324479509766,0.5325012849796276,0.4997134204951137,0.41230791387109395,0.7956742489976543,0.8766962632958201,0.8659102267230905,0.745348575857601,0.9542194105507362,0.6125609795230308,0.8047117993645814,0.6660746573415097,0.8051569859186808,0.9450749971327328,0.4863459163337081,0.5530648425088397,0.7867757114027405,0.23615923884651802,0.860025128105744,0.5943651755709046,0.4081881553547213,0.29648720873921686,0.9436991681743946,0.7524469314985687,0.7169186110563931,0.3333333333333333,0.5833333333333334,0.2619047619047619,0.0,0.32142857142857145,0.2857142857142857
