departamento,participacion_comunitaria,incentivos_economicos,fortalecimiento_institucional,impactos_ambientales,conflictos_socioambientales,desplazamiento_forzado,reasentamiento,protesta_social,amenaza_intimidacion,consulta_previa,audiencia_publica,taller_participativo,conflicto_territorial,nivel_acuerdo_proyecto,demanda_derechos,denuncia_violacion,propuesta_alternativa,llamado_dialogo,defensa_territorio,exigencia_participacion,equidad_inclusion,grupos_etnicos,movimientos_sociales,grupos_poblacionales_afectados,participacion_economica_local,transparencia_contractual,zonas_proteccion_alimentaria,respeto_territorios,presencia_grupos_armados,desaparicion_lideres,grupos_etnicos_entidades,grupos_armados_entidades,organizaciones_entidades,lideres_entidades,instituciones_entidades,actores_economicos_entidades
Guaviare,0.1613161729227967,0.3282253827444514,0.3167691254610992,0.0658466078230955,0.1278427127727016,0.2850501414181042,0.2568937557593356,0.3834037637799211,0.2146094531466371,0.7808431091963933,0.9182342489061344,0.8872867466528508,0.6027425879985393,0.9351473765813078,0.5031922196967893,0.8232845297813942,0.6610639279738587,0.8061935346920965,0.8707783477368893,0.312138217174743,0.3810232300367476,0.7500341862508986,0.2970692017375809,0.7983744720332444,0.4293638684802203,0.3469083979554583,0.2292819809344697,0.8903790438499817,0.6917552151148271,0.6321775472851716,0.337620578778135,0.1993569131832797,0.1736334405144694,0.0257234726688102,0.3536977491961415,0.0803858520900321
Magdalena,0.1706357422824391,0.2964472934572334,0.3401449108219775,0.0904277568299678,0.1023442961642168,0.427790391643549,0.4148639686890393,0.4176289111645073,0.3670066079241517,0.7431337499870169,0.8562083499442338,0.841290867728678,0.6771117354095553,0.9270097715011648,0.5867079524412924,0.7781862538535489,0.7030155875669376,0.7062075589823226,0.890174341702078,0.3831222674034024,0.513107544425546,0.7114992328974993,0.2419360263085488,0.8311102011296942,0.5408375030936533,0.404481717792296,0.2534996307245474,0.9056996063354956,0.6800348609129361,0.6709591508788454,0.1320254506892895,0.2688229056203605,0.1829268292682926,0.0466595970307529,0.333510074231177,0.2104984093319194
Sucre,0.2055652057274412,0.298264230076128,0.2978466504022606,0.0842118265271947,0.1141120933024133,0.2742742314998411,0.2572074094284763,0.2881542290735027,0.3069325741032202,0.6103036489544643,0.7638800415154706,0.7492997302677737,0.5886421652697823,0.8441378029787706,0.4701577597150965,0.6610262903561975,0.5862591135630018,0.6296373461990052,0.7976564234600235,0.2749670901112895,0.3861998665925368,0.6219692012398608,0.1817270648367474,0.820240799146585,0.4212327403101958,0.3323357157816147,0.2608553028664737,0.8470006824558617,0.5317935631835573,0.601200015987588,0.0598290598290598,0.2564102564102564,0.1709401709401709,0.0256410256410256,0.4700854700854701,0.1965811965811965
Arauca,0.1687033997949225,0.3089184488075743,0.3631668073426971,0.0557481820909274,0.1034631606906113,0.358050977901064,0.306162296397042,0.4401667846264545,0.4007302562134541,0.7861643447199973,0.8865868529428172,0.8585102052820477,0.6734427500740083,0.9570524205229788,0.6758807204957429,0.8398122770212045,0.6584469616049673,0.7943894679265466,0.8844072470889274,0.3974019790673466,0.5143692285314897,0.6444649241608325,0.2641184305308146,0.8535425576279168,0.4194795725308805,0.4121918228020054,0.2246862591819461,0.9101996366843218,0.6808744257178891,0.652496109641553,0.1219512195121951,0.9790940766550522,0.2787456445993031,0.024390243902439,0.4878048780487805,0.2439024390243902
Meta,0.1796928300700024,0.3089468741343549,0.3178483815111682,0.0842868780943627,0.1092250391867142,0.339126931395071,0.3031220109028603,0.3240453305920672,0.2656824263529647,0.6508622333418037,0.8235777370665119,0.8208100731504723,0.6098154129885712,0.9284470790023284,0.496541363023716,0.7302536858039392,0.6223128951036145,0.6674638706085471,0.8551588056709307,0.3199089259200928,0.421132469125182,0.6671419742976378,0.2363822118013455,0.7913779523692718,0.4223607315130753,0.2858505666047619,0.2712639406807515,0.9044729569458918,0.6172436355237338,0.580238019785516,0.164763458401305,0.2104404567699836,0.1957585644371941,0.0212071778140293,0.4518760195758564,0.2642740619902121
Nariño,0.1884891997278872,0.3114165672566741,0.3195785170761732,0.0603025754182542,0.1202131384615956,0.50281155638916,0.4540763557511992,0.5267358639277873,0.4379366053047195,0.7435827852611178,0.8712282419530533,0.843475427728135,0.7306332039304657,0.9252948396392706,0.6404012961627946,0.8168539944585064,0.6258642425153705,0.795770554727074,0.91254336732346,0.4425080214099668,0.5490855553575008,0.7114600295460749,0.2515046176092987,0.8304777853264014,0.5005699756682322,0.408627248927383,0.2789926351336251,0.9207787343425102,0.7945692867977635,0.7800637421206708,0.1646341463414634,0.5158536585365854,0.3182926829268293,0.0426829268292682,0.423170731707317,0.1804878048780487
Quindío,0.2030159986730326,0.3407181687263602,0.3049207337945699,0.0519208157297477,0.099424278772944,0.2480045378728325,0.2598368286699141,0.3392594562798992,0.2473719815204227,0.6906357368826866,0.8784349899332632,0.831239796524698,0.6355425350691869,0.9401508392359724,0.4844617056234909,0.8158404577824033,0.6623018845655447,0.6458106799542227,0.8376092522654852,0.3496953157293186,0.395014292451299,0.7034259210408411,0.2303146147629013,0.8107222993079234,0.4028133445980281,0.3122758729093369,0.2046348466002911,0.8850763459406286,0.5779294112900442,0.550257150902815,0.0654545454545454,0.1163636363636363,0.2,0.0145454545454545,0.56,0.2581818181818182
Risaralda,0.1573746928489284,0.287854805025438,0.3622746106678429,0.091914949018742,0.1005809399028664,0.4706037899694528,0.4577519003854893,0.3735086687822705,0.3574969818245959,0.7170441103713544,0.8097837716162857,0.7950226661488775,0.7502653729674539,0.9107210061759874,0.553379963141128,0.7333050097467717,0.6389898576538676,0.708654623564071,0.883504988026241,0.3811698736621953,0.5178551123703515,0.6684750453266364,0.1957980366592125,0.7945503652075294,0.5928914855772227,0.4581303149639298,0.2383339727876207,0.8917067126891784,0.6928230257144986,0.6765524577767983,0.129979035639413,0.4150943396226415,0.1740041928721174,0.0167714884696016,0.4570230607966457,0.270440251572327
San Andrés y Providencia,0.1507127196335679,0.3027062511284147,0.3305742932726507,0.1212269365058645,0.0947798006965414,0.4025254606643854,0.4522054676604254,0.2345030153261335,0.1041923085099172,0.672980031190926,0.7981572607542267,0.7979458598369409,0.6661503546101891,0.8852974555333671,0.401335665951078,0.6224372277016063,0.584201557508609,0.6782822232379618,0.8917118462531463,0.348372506008119,0.4427688440044774,0.5324445942760971,0.1098293437382064,0.6985935705369744,0.4869682080760274,0.2924147864636641,0.1372102534841321,0.8636673561256865,0.5697974037945919,0.5165746705717934,0.2608695652173913,0.2608695652173913,0.1826086956521739,0.017391304347826,0.3043478260869565,0.1913043478260869
Santander,0.1853760617983936,0.334083173409281,0.3154282326232127,0.0484586690327984,0.1166538585112209,0.4346191744723177,0.4519489859987746,0.4140507791037423,0.4343487431236318,0.7732380735186359,0.8494808697606447,0.8319732955608171,0.7461333627381874,0.926571298252585,0.6074605214427016,0.792914150004126,0.642574560456254,0.7591971143962366,0.877907766511465,0.4293912917719749,0.5513580709556853,0.6257329899412782,0.2397771001106225,0.8550830364453683,0.509562428976481,0.4145294594451446,0.1995768976311996,0.8786678809503262,0.7335310680653694,0.750534553930215,0.1146245059288537,0.3992094861660079,0.217391304347826,0.0434782608695652,0.541501976284585,0.3043478260869565
Valle del Cauca,0.2100231644387046,0.3311369133810711,0.2576900831957021,0.0638961616692602,0.1372536806326009,0.3276598424483817,0.2877904212119209,0.4132696893046267,0.3541031865573201,0.7440578693476243,0.864051518894127,0.820967517574278,0.6450943791299549,0.9307672751382884,0.5231551081578956,0.7327452724029382,0.6878314020687268,0.7005759820453504,0.8475259872328522,0.402922890555018,0.4690337599589465,0.6970976086763235,0.2848919817280326,0.8432850577096399,0.4439544838422344,0.3185750961165157,0.219966956756812,0.8561996130081706,0.6214267894959985,0.7076819159178079,0.1196581196581196,1.0,0.2307692307692307,0.0341880341880341,0.5641025641025641,0.3247863247863248
Vaupés,0.1685399004918897,0.3266364134306836,0.3156734413952909,0.0758262027421186,0.1133240403977628,0.3633076765656105,0.4109663601912972,0.2979440657983128,0.2383574677517331,0.6850313781482033,0.8206014070972307,0.7944389476637858,0.78661531687547,0.9413041237455148,0.5105269901428579,0.6780530835987411,0.6241072438349828,0.7373524825765282,0.8499569412097971,0.3696247977562822,0.5435484482122697,0.6472682201295582,0.1539170041866401,0.8439709371270245,0.5516119480897219,0.3555887902743068,0.2544739359420621,0.9135596855328634,0.6330145164203838,0.6145238713361323,0.282051282051282,0.6239316239316239,0.2735042735042735,0.0,0.358974358974359,0.2051282051282051
Vichada,0.1644316822545783,0.3178900070638666,0.3740837543962463,0.0686086865607649,0.074985868833591,0.4024781740191693,0.4654504954326717,0.3276770855243798,0.2954449244848107,0.8025178822778887,0.854619720650296,0.8150479485911708,0.6904454345123903,0.9546838537339242,0.5563835933609235,0.8131674177223637,0.6605589131443506,0.7159802419764381,0.8711187700110097,0.3955674442695454,0.5736436287481939,0.7591743927388903,0.1388460437963423,0.8735682737202414,0.5755905919640716,0.4740109965254481,0.3154049379743575,0.9088295093106646,0.6501881069909301,0.6243098652020337,0.1774193548387097,0.1935483870967742,0.1290322580645161,0.0,0.3387096774193548,0.0967741935483871
